city_label,city_id,city_name_fa,area_id,native_key,district_number,area_name_fa,level,date,period_code,period_id,label,price_psm_median_toman,price_psm_smoothed_toman,price_psm_p25_toman,price_psm_p75_toman,price_total_median_toman,sample_size,trust,source,metraj_band,window_months
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2021-08-23,1400-06,246,شهریور - 1400,65573770.49,65214441.13,45217391.3,87162162.16,6900000000,1101,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2021-09-23,1400-07,247,مهر - 1400,65000000,64638808.12,41176470.59,86666666.67,6750000000,1069,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2021-10-23,1400-08,248,آبان - 1400,61538461.54,61203371.1,39791666.67,86000000,6580000000,1047,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2021-11-22,1400-09,249,آذر - 1400,61111111.11,60742482.28,38918128.66,89713949.84,6500000000,947,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2021-12-22,1400-10,250,دی - 1400,65000000,64565455.11,44791666.67,93000000,7000000000,881,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-01-21,1400-11,251,بهمن - 1400,69607843.14,69139788.37,49560431.16,97574712.65,7670000000,911,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-02-20,1400-12,252,اسفند - 1400,70000000,69448010.24,50000000,99099099.1,7800000000,769,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-03-21,1401-01,253,فروردین - 1401,75000000,74451458.9,54687500,100000000,8500000000,828,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-04-21,1401-02,254,اردیبهشت - 1401,81215469.61,81091719.82,65144675.93,103645218.42,11000000000,3415,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-05-22,1401-03,255,خرداد - 1401,83555750.66,83493950.08,66299843.86,105000000,11000000000,6858,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-06-22,1401-04,256,تیر - 1401,85000000,84955717.19,67433051.45,107904202.95,11350000000,9543,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-07-23,1401-05,257,مرداد - 1401,87317073.17,87272945.08,69387755.1,110743801.65,11502000000,9893,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-08-23,1401-06,258,شهریور - 1401,93137254.9,93099458.57,75000000,120000000,12800000000,12285,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-09-23,1401-07,259,مهر - 1401,95000000,94949057.77,76153846.15,122857142.86,13200000000,9253,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-10-23,1401-08,260,آبان - 1401,97674418.6,97594757.92,78597689.08,125421387.77,14000000000,5998,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-11-22,1401-09,261,آذر - 1401,99047619.05,98946785.83,23200000,135000000,12500000000,3603,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2022-12-22,1401-10,262,دی - 1401,87500000,87470013.77,23000000,132000000,10000000000,9791,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2023-01-21,1401-11,263,بهمن - 1401,31111111.11,31120430.99,24571428.57,125000000,4600000000,27106,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2023-02-20,1401-12,264,اسفند - 1401,30427350.43,30434127.8,25367647.06,115294117.65,4000000000,32693,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2023-03-21,1402-01,265,فروردین - 1402,30000000,30008409.02,25945945.95,110000000,3900000000,26561,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2023-04-21,1402-02,266,اردیبهشت - 1402,127659574.47,127641235.24,32000000,187074829.93,15350000000,22797,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2023-05-22,1402-03,267,خرداد - 1402,175000000,174965974.5,137931034.48,228571428.57,28000000000,23741,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2023-06-22,1402-04,268,تیر - 1402,176896912.61,176873150.91,140740740.74,230000000,28900000000,34982,DIRECT,listing,metraj_all,3
tehran,272905,تهران,38b6af3d-45f5-546e-0af0-d43282543dfb,272905:1,1,منطقه 1,MUNICIPAL_AREA,2023-07-23,1402-05,269,مرداد - 1402,180714285.71,180685738.64,147822119.97,235294117.65,30000000000,30940,DIRECT,listing,metraj_all,3
